grid_id,n_reaches,total_length_km,max_seg_length_km,main_hyriv_id,main_length_km,main_length_frac,n_exit_reaches,n_exit_downstream_cells,in_china,next_grid_id,has_next,rank_by
1841098,25,43.77258169607716,5.144201343869842,41232522,5.144201343869842,0.11752108613531603,1,1,True,-1.0,False,n_reaches
2441148,25,43.63518336365432,4.193042632814119,41006889,4.193042632814119,0.09609315945505319,4,2,True,2431148.0,True,n_reaches
2221098,25,43.408152995584274,4.386308604694914,41116025,4.386308604694914,0.10104803595631251,3,2,True,2211098.0,True,n_reaches
2301138,25,43.2491939471921,5.473377313409648,41077488,5.473377313409648,0.12655443521312149,2,1,True,2311138.0,True,n_reaches
2721146,25,42.90086190660953,3.8747136455109863,40840903,3.8747136455109863,0.09031785081488136,3,2,True,2721147.0,True,n_reaches
2941186,25,42.83418008328247,6.379757730721673,40710226,6.379757730721673,0.14894081591657676,3,1,True,2941187.0,True,n_reaches
3060930,25,42.768077600142135,4.637089988433164,40656751,4.637089988433164,0.10842409218827627,2,2,True,3060931.0,True,n_reaches
2881168,25,42.6002413341944,5.90375840393633,40740296,5.90375840393633,0.1385850929252247,2,2,True,2891167.0,True,n_reaches
3041176,25,42.47426209205462,5.5438566839483565,40668411,5.5438566839483565,0.1305227309642987,2,1,True,3041175.0,True,n_reaches
2481134,25,42.337391174552415,6.214173098619747,40979144,6.214173098619747,0.1467774212397593,4,2,True,2481135.0,True,n_reaches
2181120,25,41.661551754515074,6.482921647763683,41136861,6.482921647763683,0.1556092218063168,0,0,True,-1.0,False,n_reaches
2701178,25,41.59245569913545,5.394327489170681,40851351,5.394327489170681,0.12969485447532278,2,1,True,2691178.0,True,n_reaches
2861164,25,41.518707959307875,3.9826184853851547,40752298,3.9826184853851547,0.09592346874783494,1,1,True,2871164.0,True,n_reaches
2900952,25,41.06643473183361,4.886401877752831,40726447,4.886401877752831,0.11898773072611102,6,2,True,-1.0,False,n_reaches
2941156,25,40.865559502397645,4.32870264172335,40709198,4.32870264172335,0.10592544662136287,6,2,True,2931156.0,True,n_reaches
2721078,25,40.84588406772798,4.145492614976606,40837295,4.145492614976606,0.1014910733258416,4,2,True,2731078.0,True,n_reaches
2941174,25,40.666398284873736,5.058601862766732,40707865,5.058601862766732,0.12439267002035753,2,1,True,2941173.0,True,n_reaches
2941178,25,38.31355094651342,5.166880403324931,40712300,5.166880403324931,0.1348577794456591,6,3,True,2931179.0,True,n_reaches
3021172,25,37.87714137852938,4.430641318086069,40673123,4.430641318086069,0.11697401537798134,3,3,True,3021171.0,True,n_reaches
2940964,25,37.10967116684555,3.481337198768413,40711043,3.481337198768413,0.09381212738631602,3,2,True,2950964.0,True,n_reaches
3840984,24,63.967935834500594,7.634675473866072,40397935,7.634675473866072,0.11935159973926142,3,1,True,3840983.0,True,n_reaches
1981106,24,62.42987881567661,6.758691227916075,41194808,6.758691227916075,0.10826052134220894,0,0,True,1991106.0,True,n_reaches
3620896,24,58.38973560188716,5.816536600909319,40467348,5.816536600909319,0.09961573795380105,2,1,True,3620895.0,True,n_reaches
3530890,24,58.29918870642288,5.419090878117353,40500515,5.419090878117353,0.0929531096119752,2,1,True,3530891.0,True,n_reaches
2841154,24,57.82488205821292,6.814642715865402,40760934,6.814642715865402,0.11784966044556786,2,1,True,2841155.0,True,n_reaches
2860856,24,57.78386906103543,10.10306689637344,40751171,10.10306689637344,0.17484234026804024,2,2,True,2870856.0,True,n_reaches
2581126,24,57.116121316983225,8.782588270866793,40925352,8.782588270866793,0.15376723888733895,2,1,True,2581127.0,True,n_reaches
2481108,24,56.2457231758139,7.559761219300999,40981058,7.559761219300999,0.13440597422261885,2,1,True,2471108.0,True,n_reaches
2881208,24,55.82485034188873,5.837629230941923,40738787,5.837629230941923,0.1045704412137331,1,1,True,2881209.0,True,n_reaches
2301106,24,55.33609874881995,7.722257557458131,41078888,7.722257557458131,0.13955189708097754,1,1,True,2311106.0,True,n_reaches
2360998,24,55.29460568549948,7.010293623002196,41047491,7.010293623002196,0.1267807869518922,2,1,True,2350998.0,True,n_reaches
2341138,24,54.07836265637748,6.152974179532091,41055837,6.152974179532091,0.11377885493000348,1,1,True,2331138.0,True,n_reaches
2261030,24,53.71094244888868,8.496956154825908,41098539,8.496956154825908,0.15819786001542627,2,1,True,2261031.0,True,n_reaches
2901006,24,53.51198195636253,6.519289771731085,40727335,6.519289771731085,0.12182859863137524,2,1,True,2891006.0,True,n_reaches
2321132,24,52.70555054137187,5.469623597185904,41067573,5.469623597185904,0.10377699390299425,2,2,True,2321131.0,True,n_reaches
2721124,24,52.116561108889506,9.177472235800295,40840336,9.177472235800295,0.17609512294230972,4,2,True,2711124.0,True,n_reaches
2901192,24,51.95562481511285,10.848261613582316,40731746,10.848261613582316,0.20879859788399224,3,1,True,2901193.0,True,n_reaches
2380976,33,77.05231776435326,9.35459176042964,41035655,9.35459176042964,0.12140571538728401,0,0,True,-1.0,False,total_length_km
2460978,39,75.70874147013772,4.598920735890179,40992123,4.598920735890179,0.06074491064818664,1,1,True,2450978.0,True,total_length_km
2420982,40,74.00227083950227,5.47103218254223,41016922,5.47103218254223,0.07393059862187099,2,1,True,2420981.0,True,total_length_km
2420978,30,70.52251182739977,8.943702251160024,41015234,8.943702251160024,0.12682052892627077,3,2,True,2420977.0,True,total_length_km
3120798,23,65.53236900279563,6.993199371731947,40639964,6.993199371731947,0.10671366651545307,5,3,True,3120799.0,True,total_length_km
3950940,15,64.3013725788572,8.595968123649458,40369100,8.595968123649458,0.13368249819407246,3,1,True,3960940.0,True,total_length_km
3840984,24,63.967935834500594,7.634675473866072,40397935,7.634675473866072,0.11935159973926142,3,1,True,3840983.0,True,total_length_km
2540982,39,63.94895608314701,4.743482778791587,40947265,4.743482778791587,0.07417607838076462,1,1,True,2530982.0,True,total_length_km
2841194,30,63.94800306409401,7.235431140101908,40760694,7.235431140101908,0.11314553689581137,2,1,True,2841195.0,True,total_length_km
2981150,23,63.25382180769063,10.863611661363986,40692240,10.863611661363986,0.17174632853635968,1,1,True,2981151.0,True,total_length_km
3740846,15,63.223921757259006,10.56103164080667,40434142,10.56103164080667,0.167041704267485,4,1,True,3750846.0,True,total_length_km
4400940,16,63.018237119458995,6.7835433263963,40224869,6.7835433263963,0.10764413027830723,4,3,True,4400941.0,True,total_length_km
2540986,21,62.79954824228117,7.468996762046758,40946550,7.468996762046758,0.11893392502174231,1,1,True,2530986.0,True,total_length_km
2300998,27,62.507616193026216,9.46121170004184,41077914,9.46121170004184,0.1513609424941948,2,1,True,2310998.0,True,total_length_km
